item,price,notes
Standard closet (2ft deep, 3–7ft wide),225,Closet shelving paint: 275 (note: source line was truncated)
Bathroom vanity (spray doors, both sides),350,425 if greasy/smoker/pet damaged; 600 for double vanity
Full kitchen / cabinet package,135 per door/drawer front,+15 medium grease; +30 heavy grease; +800 off-site spray
Full stair package (risers + stringers + spindles/banisters),1400,Only when complete glow-up desired
Each additional interior door (both sides + casing),150,Scattered doors throughout the house
Wallpaper removal,300 per wall,Accent wall=1; full room=3–4 walls
Tile backsplash painting,450–650,Depends on linear footage
