condition,action,example
Ceiling height >=12 ft,+20% or push to Tier 3,Knickerbocker Ct 14ft living room
Crown molding anywhere,Push to Tier 3,1500 Nelson living room
Chair rail / wainscoting / beadboard,Push to Tier 3,1500 Nelson older Valpo house
Floor-to-ceiling wood paneling,Push to Tier 3,1234 Oakwood basement room
Two-story great room / open foyer,+25-35%,Barbara Ln foyer (20 ft)
Very small room (<80 sf),+15% (setup time),Tiny bathrooms
Very large room (>300 sf),-10% (efficiency),Huge open-concept lower level
